ID;Tipo;Width;Height
13fb61859-6;cat;360;480
c98d16315-11;cat;287;342
d0956e39e-5;dog;130;98
626b056b5-1;dog;270;480
8cfcbd9bb-3;dog;360;480
198a73c5e-1;dog;383;400
6231ed9b3-10;dog;300;400
c5b97062a-6;cat;360;480
50af1151a-1;cat;400;300
b0c159af4-5;dog;269;400
20c3c2ba7-2;dog;400;220
19caeb6b5-2;dog;394;480
daeac2b84-2;dog;640;430
d0f8b280d-4;cat;640;384
e241fc7da-1;cat;640;480
74084fa99-1;cat;360;480
a2ae5fa7d-3;dog;640;480
4d3e3a146-4;dog;114;399
bb5917ca8-2;dog;270;480
4cfee2fbe-4;dog;400;337
6dc2f0739-3;dog;300;400
3a5d5a265-7;cat;360;480
941eb9304-1;dog;384;384
72a7cb335-5;cat;270;480
9718baba0-5;dog;300;400
bc681e945-4;dog;300;400
8079e3a1c-8;dog;400;400
6d24fab68-11;cat;640;480
b0b33bec3-4;dog;400;267
a6adb9a9f-1;dog;640;474
e70a2beb6-2;cat;300;400
84e1e59d5-2;dog;640;526
bf2f87f17-3;dog;640;480
888c22eb5-7;dog;640;508
bfdde77ff-1;dog;388;480
71a92867d-4;dog;400;275
4fc4ac031-1;cat;640;640
a8d44452c-1;dog;640;360
02387e247-2;cat;360;480
ee83e7a09-7;dog;266;400
ea9ad03dc-2;dog;400;300
e9e06e3f6-1;cat;400;300
d0b61aedc-1;dog;299;400
ea9ad03dc-1;dog;400;300
4bd8b2b8d-1;cat;150;113
460426eb4-15;cat;428;480
faca11616-4;dog;400;300
63f2be2e0-3;cat;640;360
f5d60ca48-1;dog;270;480
1069c72a9-3;cat;225;399
33cabff1a-2;cat;640;474
40ca5f1a0-3;cat;480;360
31c12668d-2;cat;640;494
523aeba08-5;cat;400;300
3c7dd9982-1;dog;400;365
d38ce48c2-4;cat;640;480
fc4b199fa-1;dog;384;384
144ad89a5-2;dog;244;400
11db3b853-3;dog;270;480
8cb5fc48e-4;dog;400;300
a6c836abe-1;dog;294;400
bf9bd91e1-7;cat;300;400
fa0295935-2;cat;640;480
721acc718-4;cat;400;342
5701c7885-1;cat;400;225
24357b578-1;cat;400;300
7cfb6fe9c-4;cat;300;400
92d5ac408-7;dog;400;300
a37e46e35-5;dog;360;480
a01a10c4b-2;cat;640;478
c08403e9f-10;cat;400;300
20bf4bf39-5;dog;400;300
d06076338-3;cat;427;640
cbefe3979-6;dog;455;201
bddc0b2c7-4;dog;360;480
ea319fdec-5;dog;360;480
17bdf954a-1;dog;360;480
2d3d873be-1;cat;453;480
810ae61da-2;cat;640;480
ac3a5c473-1;dog;400;300
d55faa0ff-2;dog;400;300
6b94af372-2;cat;320;240
25eec77c6-3;cat;400;300
e9ec4d543-1;dog;400;267
505034c5a-4;dog;360;480
28ec2de89-1;dog;270;480
aeda0ac0d-5;cat;400;267
9d4cf29f6-5;dog;640;480
b64307878-1;cat;357;478
06c724ada-3;cat;400;273
d1052eb2d-7;dog;299;400
34dc86aae-1;dog;299;400
7f7080e6b-4;cat;300;400
cad25c91b-27;dog;576;480
65e65ba4b-1;cat;400;240
b1e94ac2d-1;cat;400;300
c6cdbebfa-3;cat;400;300
fabc9bfec-1;dog;360;480
702bee848-4;dog;360;480
150bf58e2-3;dog;270;480
dd8817ccb-7;cat;400;267
f2c84786f-4;cat;400;300
9ba05432d-1;cat;270;480
4138a8f48-1;cat;225;300
5906e36c5-2;cat;300;400
e73b8f98b-3;dog;400;300
f7ada8363-2;cat;356;480
0f2879b04-2;cat;400;300
