ID;Tipo;Height;Width
1656085;cat;480;360
1045866;cat;342;287
1043664;dog;98;130
1927939;dog;480;270
1508645;dog;480;360
1178239;dog;400;383
1784226;dog;400;300
1333997;cat;480;360
1172636;cat;300;400
1512661;dog;400;269
1703316;dog;220;400
1430761;dog;480;394
1464506;dog;430;640
1432995;cat;384;640
1342288;cat;480;640
1990767;cat;480;360
1691118;dog;480;640
1021052;dog;399;114
1903635;dog;480;270
1560229;dog;337;400
1587949;dog;400;300
1959746;cat;480;360
1018903;dog;384;384
1806848;cat;480;270
1213230;dog;400;300
1364156;dog;400;300
1464190;dog;400;400
1438218;cat;480;640
1193907;dog;267;400
1664754;dog;474;640
1217341;cat;400;300
1855844;dog;526;640
1789488;dog;480;640
1777032;dog;508;640
1679066;dog;480;388
1641261;dog;275;400
1414342;cat;640;640
1460446;dog;360;640
1577449;cat;480;360
1262617;dog;400;266
1434389;dog;300;400
1267942;cat;300;400
1410654;dog;400;299
1910868;dog;300;400
1596892;cat;113;150
1163369;cat;480;428
1708294;dog;300;400
1923066;cat;360;640
1907542;dog;480;270
1141510;cat;399;225
1137912;cat;474;640
1491439;cat;360;480
1463295;cat;494;640
1498797;cat;300;400
1634628;dog;365;400
1498664;cat;480;640
1954937;dog;384;384
1513000;dog;400;244
1169918;dog;480;270
1614620;dog;300;400
1353458;dog;400;294
1178620;cat;400;300
1451783;cat;480;640
1092232;cat;342;400
1805320;cat;225;400
1654137;cat;300;400
1254544;cat;400;300
1190641;dog;300;400
1004917;dog;480;360
1297321;cat;478;640
1979720;cat;300;400
1006466;dog;300;400
1465373;cat;640;427
1285774;dog;201;455
1324978;dog;480;360
1377299;dog;480;360
1984039;dog;480;360
1501825;cat;480;453
1167985;cat;480;640
1873297;dog;300;400
1155237;dog;300;400
1398720;cat;240;320
1007295;cat;300;400
1584278;dog;267;400
1580161;dog;480;360
1850397;dog;480;270
1638026;cat;267;400
1045377;dog;480;640
1319344;cat;478;357
1868961;cat;273;400
1551714;dog;400;299
1862810;dog;400;299
1128955;cat;400;300
1114029;dog;480;576
1623935;cat;240;400
1939728;cat;300;400
1548737;cat;300;400
1662684;dog;480;360
1614822;dog;480;360
1594426;dog;480;270
1713801;cat;267;400
1075690;cat;300;400
1015535;cat;480;270
1185777;cat;300;225
1718602;cat;400;300
1699784;dog;300;400
1536201;cat;480;356
1798731;cat;300;400
1269635;cat;360;639
1740711;dog;480;360
1076731;dog;400;299
1784613;cat;300;400
1992496;cat;300;400
1544605;dog;400;300
1144667;cat;300;400
1397641;cat;300;400
1566551;cat;620;640
1177542;dog;225;400
1426518;dog;640;640
1934639;cat;480;480
1881846;dog;400;300
1210386;cat;300;400
1541598;cat;300;400
1360751;dog;400;300
1107841;cat;300;400
1774453;dog;400;225
1755206;dog;480;360
1122088;cat;409;640
1347088;dog;302;400
1423614;dog;300;400
1696604;cat;266;400
1267702;dog;200;400
1975887;dog;400;300
1213326;cat;267;400
1984983;dog;400;266
1026350;dog;480;360
1810693;dog;400;300
1541033;dog;480;360
1661448;dog;400;400
1808974;dog;400;300
1396885;dog;381;400
1998857;cat;400;305
1935989;cat;300;400
1151562;dog;400;300
1917733;dog;360;203
1369184;dog;400;300
1144931;dog;400;300
1627117;dog;300;400
1306320;cat;400;400
1102408;cat;480;640
1416423;cat;400;300
1304143;cat;640;640
1743343;cat;480;360
1341936;dog;494;640
1517230;cat;113;150
1662205;cat;300;400
1215607;dog;480;360
1105556;cat;480;640
1910506;cat;300;400
1328346;cat;310;552
1421200;dog;480;304
1656966;cat;479;271
1875187;dog;400;400
1005203;cat;480;640
1074850;cat;300;400
1582088;dog;300;400
1284809;cat;400;300
1479589;dog;480;360
1363740;cat;480;360
1162193;dog;225;400
1948954;cat;480;426
1698508;cat;360;203
1175916;cat;480;270
1668626;cat;480;360
1509485;dog;300;400
1625797;dog;300;400
1426625;cat;400;300
1139755;cat;300;400
1111046;cat;299;400
1956959;dog;480;363
1804595;dog;400;299
1734181;cat;300;400
1150729;dog;166;221
1073106;dog;480;416
1886001;cat;360;640
1687970;dog;120;160
1045035;dog;506;640
1804229;dog;400;379
1082399;dog;300;400
1911916;dog;300;400
1381992;cat;360;640
1901084;dog;299;400
1832910;cat;300;400
1746394;dog;444;640
1931474;dog;299;400
1512197;dog;400;300
1821123;cat;542;640
1883796;dog;300;400
1956207;dog;480;270
1216531;cat;480;640
1162640;cat;225;400
1529485;cat;480;640
1551629;cat;427;640
1465819;cat;400;300
1107334;cat;267;400
1728958;cat;360;640
1604772;cat;300;400
1063129;cat;300;400
1166840;dog;400;299
1611340;cat;480;360
1258699;cat;480;360
1453664;dog;480;640
1530290;dog;480;360
1725654;cat;480;360
1958393;dog;480;360
1423891;dog;400;300
1056734;dog;480;360
1220881;dog;266;400
1810769;cat;300;400
1508886;cat;400;300
1069147;cat;300;400
1034540;dog;361;228
1713515;dog;400;400
1357622;cat;480;640
1532448;cat;300;400
1105514;cat;480;360
1162746;cat;300;400
1954062;cat;313;560
1930845;cat;300;400
1089743;dog;399;247
1427935;cat;300;400
1962842;dog;299;223
1259042;cat;478;640
1961576;dog;360;640
1370620;dog;300;400
1452625;dog;480;360
1129888;cat;480;640
1792750;dog;240;400
1268673;dog;400;300
1464421;dog;400;225
1150319;dog;480;270
1593290;dog;300;400
1051712;dog;400;225
1766328;dog;400;300
1794045;cat;240;320
1870237;cat;267;400
1007526;cat;225;127
1732573;dog;400;300
1965164;dog;166;221
1175264;cat;240;320
1417796;cat;480;330
1406410;cat;360;203
1106499;dog;300;400
1607221;cat;400;300
1909133;cat;478;640
1531656;dog;480;360
1307339;dog;300;400
1660180;cat;300;400
1845595;dog;400;300
1498057;cat;300;400
