ID;Tipo;Width;Height
de69b768b-14;dog;400;267
e9a5ab1c8-1;dog;400;300
a0948ab92-1;cat;489;480
b5cc601a6-1;dog;360;480
5288df192-1;dog;640;360
968abd09a-15;cat;317;479
63e672dab-3;cat;300;400
55f25c755-1;dog;300;400
e890afe89-3;dog;640;360
bcab0cceb-2;cat;127;225
9d0a2b055-7;dog;400;300
19701e571-10;cat;400;321
e14839727-4;cat;640;480
1b433696a-2;dog;399;266
f289129c8-1;cat;400;284
cba6451f0-1;dog;400;300
ba2f87264-2;dog;400;379
ca1098b68-1;dog;286;400
5ac0afae7-7;cat;300;400
c388d1185-1;cat;400;300
dfe80cfa0-3;cat;400;400
11164e33c-1;cat;640;640
e1c1c681b-2;cat;400;300
3d88d5a3c-3;dog;400;300
9789ca2dc-1;cat;400;300
f0e6c3cfa-6;dog;400;300
9f6edbb8c-6;dog;400;300
d6d6ba591-1;dog;640;640
65da5b76e-6;cat;536;402
dcb9727c3-8;dog;400;267
10d0c5d3a-3;cat;400;268
95cce48c5-13;cat;400;300
1de9505ff-1;cat;272;480
a9f6b9ee8-4;dog;360;480
963661d40-9;cat;400;400
0aabc201c-2;cat;270;480
a6574c9e2-3;cat;400;299
d85728f92-1;dog;299;400
076238985-1;dog;300;400
788f7ed22-2;cat;640;640
b7f06c863-1;dog;400;300
0ae993d50-1;dog;300;400
92d56e551-1;cat;400;300
adbcb095e-5;dog;400;299
5696f4ec8-13;cat;640;427
b51b87f2e-4;dog;203;360
50cb04378-5;dog;300;400
92558ec1f-5;cat;400;300
567447f98-2;dog;360;480
0a8e773aa-2;cat;400;299
4e464c40c-2;cat;400;299
e27a4e01d-1;cat;400;300
a48a11af2-2;cat;360;480
48ab74343-4;dog;360;480
dc515f454-1;cat;400;300
5229f814a-6;dog;300;400
73e1d11ce-2;dog;400;265
7c9f999a0-1;dog;225;300
c44b30646-2;dog;400;300
605c3a89a-4;dog;400;300
6ecf2e425-2;dog;270;480
1521842ae-2;dog;270;480
a637964c7-2;dog;400;300
b2985c2b7-2;cat;360;480
46786d2fd-1;dog;360;480
6387fd0b7-1;cat;400;300
0de7b2448-3;dog;400;261
edcdaf449-2;cat;360;480
32c57e5f5-1;dog;335;400
3d9a5ac46-14;cat;400;267
b415a8a56-2;cat;400;300
4728c70a3-4;cat;400;300
eb6910f75-2;dog;300;400
2bf093c71-3;cat;203;360
bd1cd5e02-4;cat;267;400
f98c13633-2;cat;640;285
c18a3b783-1;cat;400;300
d7b7dd916-2;cat;299;400
e38ecd527-1;dog;400;400
1874d0bb0-4;cat;400;300
054ca7b8c-9;cat;299;400
e961931e3-9;dog;640;480
68e1a0e38-2;cat;400;400
2f733eefa-3;dog;300;400
1f8b61164-1;dog;300;400
08c70b57d-1;dog;640;640
e16c0610b-2;dog;203;360
d08620b12-2;dog;400;307
ebcaa9c20-1;dog;298;400
c388d1185-6;cat;400;300
a331ef890-24;cat;640;480
366b03a7b-3;cat;359;480
1f9145dd3-3;dog;267;400
d5c5e0420-2;cat;300;400
23ede6767-3;dog;400;300
779d81f66-3;cat;400;300
e03b139b6-2;cat;248;400
8f93b2622-1;cat;400;300
79c1f044a-1;cat;640;480
07af2a6b8-1;cat;300;400
21e2dc73a-3;cat;360;480
3081b57f5-1;cat;300;400
4552c1c77-4;dog;270;480
adbd24c05-4;dog;640;480
ce7b71e62-7;cat;360;480
c4adfc9a5-3;dog;360;480
71e991077-11;cat;360;480
f65161b87-1;dog;233;479
bc07b7683-9;dog;299;400
b6c3a2101-1;cat;304;480
ba96a9996-5;cat;270;480
de69b768b-6;dog;400;267
68e42af5f-1;dog;400;300
3f8aa8d5b-11;dog;240;320
de7731077-8;cat;400;300
b3a6e0d73-1;cat;400;301
0552678e9-5;dog;299;399
4d999d3a9-3;cat;400;299
f33b863bf-3;cat;400;268
8c9b21e02-27;cat;299;400
a70374352-19;dog;270;480
75d4052a6-8;cat;299;400
8c6097ba3-1;dog;259;400
7c2b47078-2;cat;640;635
ae57f8d52-1;dog;640;427
0ba175395-1;cat;400;300
f06ed55e6-2;cat;360;480
46caeb331-2;dog;400;300
56ed31abe-4;cat;357;478
000aa306a-6;dog;400;254
d64e3a002-1;dog;640;362
