ID;Width;Tipo;Height
2934540;400;dog;267
2714052;400;dog;300
2932258;489;cat;480
2880927;360;dog;480
2583106;640;dog;360
2488904;317;cat;479
2250142;300;cat;400
2968079;300;dog;400
2661945;640;dog;360
2590016;127;cat;225
2002530;400;dog;300
2980408;400;cat;321
2525578;640;cat;480
2124474;399;dog;266
2682679;400;cat;284
2012446;400;dog;300
2026180;400;dog;379
2080834;286;dog;400
2522498;300;cat;400
2296906;400;cat;300
2907884;400;cat;400
2349791;640;cat;640
2753824;400;cat;300
2350401;400;dog;300
2028665;400;cat;300
2249665;400;dog;300
2146537;400;dog;300
2581537;640;dog;640
2079013;536;cat;402
2763556;400;dog;267
2600095;400;cat;268
2207601;400;cat;300
2028015;272;cat;480
2615263;360;dog;480
2777976;400;cat;400
2674668;270;cat;480
2055314;400;cat;299
2434460;299;dog;400
2805153;300;dog;400
2877925;640;cat;640
2448068;400;dog;300
2552205;300;dog;400
2891051;400;cat;300
2621959;400;dog;299
2046370;640;cat;427
2622460;203;dog;360
2826909;300;dog;400
2588841;400;cat;300
2789357;360;dog;480
2133105;400;cat;299
2896191;400;cat;299
2726739;400;cat;300
2017831;360;cat;480
2184315;360;dog;480
2257027;400;cat;300
2016121;300;dog;400
2644171;400;dog;265
2480924;225;dog;300
2132967;400;dog;300
2534920;400;dog;300
2953978;270;dog;480
2775205;270;dog;480
2764696;400;dog;300
2511519;360;cat;480
2898252;360;dog;480
2188897;400;cat;300
2393299;400;dog;261
2234409;360;cat;480
2441086;335;dog;400
2940013;400;cat;267
2026290;400;cat;300
2211706;400;cat;300
2786245;300;dog;400
2364973;203;cat;360
2062247;267;cat;400
2198393;640;cat;285
2608267;400;cat;300
2294662;299;cat;400
2653060;400;dog;400
2103786;400;cat;300
2136857;299;cat;400
2653023;640;dog;480
2323036;400;cat;400
2051006;300;dog;400
2635285;300;dog;400
2502457;640;dog;640
2512415;203;dog;360
2035710;400;dog;307
2544231;298;dog;400
2899207;400;cat;300
2338845;640;cat;480
2024132;359;cat;480
2255403;267;dog;400
2055419;300;cat;400
2065110;400;dog;300
2361823;400;cat;300
2245018;248;cat;400
2524927;400;cat;300
2551628;640;cat;480
2655541;300;cat;400
2606982;360;cat;480
2806012;300;cat;400
2836571;270;dog;480
2326784;640;dog;480
2754553;360;cat;480
2285100;360;dog;480
2201078;360;cat;480
2270124;233;dog;479
2254764;299;dog;400
2686386;304;cat;480
2761414;270;cat;480
2422841;400;dog;267
2165834;400;dog;300
2967998;240;dog;320
2854839;400;cat;300
2579938;400;cat;301
2667419;299;dog;399
2209629;400;cat;299
2777859;400;cat;268
2303265;299;cat;400
2375727;270;dog;480
2612214;299;cat;400
2860500;259;dog;400
2034486;640;cat;635
2836477;640;dog;427
2481145;400;cat;300
2520436;360;cat;480
2408524;400;dog;300
2460644;357;cat;478
2785749;400;dog;254
2759657;640;dog;362
2303236;127;cat;225
2537953;400;cat;300
2083143;640;cat;480
2106721;640;cat;480
2270146;344;dog;400
2087716;300;dog;400
2481685;400;cat;300
2144058;400;dog;265
2386702;400;cat;267
2684976;400;cat;270
2648635;640;cat;480
2528551;400;cat;300
2479587;400;cat;299
2928485;400;dog;300
2372107;300;cat;400
2761953;203;cat;360
2822419;225;dog;300
2943505;270;dog;480
2117728;400;cat;363
2852375;640;dog;480
2230801;640;cat;480
2039407;300;cat;400
