ID;Tipo
0008c5398-1;cat
0008c5398-2;cat
0008c5398-3;cat
0008c5398-4;cat
0008c5398-5;cat
0008c5398-6;cat
0011d7c25-1;cat
0011d7c25-2;cat
0011d7c25-3;cat
001a1aaad-1;cat
001a1aaad-2;cat
001a1aaad-3;cat
001a1aaad-4;cat
001b1507c-1;cat
001b1507c-2;cat
001b1507c-3;cat
001b1507c-4;cat
001b1507c-5;cat
001b1507c-6;cat
002230dea-2;cat
002230dea-3;cat
002230dea-4;cat
002278114-10;cat
002278114-11;cat
002278114-12;cat
002278114-13;cat
002278114-2;cat
002278114-3;cat
002278114-4;cat
002278114-5;cat
002278114-6;cat
002278114-7;cat
002278114-8;cat
002278114-9;cat
0025a8313-1;cat
0025a8313-2;cat
003dd2e26-1;cat
0045ed62a-1;cat
0045ed62a-2;cat
0045ed62a-3;cat
004709939-1;cat
004709939-2;cat
004709939-3;cat
004c2f355-1;cat
004c2f355-2;cat
00553ae55-1;cat
00553ae55-2;cat
00553ae55-3;cat
00553ae55-4;cat
00553ae55-5;cat
005afe792-1;cat
005afe792-10;cat
005afe792-11;cat
005afe792-2;cat
005afe792-3;cat
005afe792-4;cat
005afe792-5;cat
005afe792-6;cat
005afe792-7;cat
005afe792-8;cat
005afe792-9;cat
0063f83c9-1;cat
0063f83c9-2;cat
0063f83c9-3;cat
0063f83c9-4;cat
006d301e9-1;cat
006d301e9-2;cat
006d301e9-3;cat
006ffebaf-1;cat
006ffebaf-2;cat
006ffebaf-3;cat
006ffebaf-4;cat
006ffebaf-5;cat
00904fc2c-1;cat
00904fc2c-2;cat
00a1f270a-1;cat
00a1f270a-2;cat
00a1f270a-3;cat
00a1f270a-4;cat
00a1f270a-5;cat
00ac364a4-1;cat
00b00d5c1-1;cat
00b00d5c1-2;cat
00b00d5c1-3;cat
00be0a63e-1;cat
00be0a63e-2;cat
00eca0391-1;cat
00eca0391-2;cat
00eca0391-3;cat
00eca0391-4;cat
00eca0391-5;cat
00eced1f0-1;cat
00f63c6fc-1;cat
00f997463-1;cat
00f997463-10;cat
00f997463-2;cat
00f997463-3;cat
00f997463-4;cat
00f997463-5;cat
00f997463-6;cat
00f997463-7;cat
00f997463-8;cat
00f997463-9;cat
010a59236-10;cat
010a59236-11;cat
010a59236-12;cat
010a59236-13;cat
010a59236-14;cat
010a59236-15;cat
010a59236-16;cat
010a59236-17;cat
010a59236-18;cat
010a59236-19;cat
010a59236-2;cat
010a59236-20;cat
010a59236-21;cat
010a59236-3;cat
010a59236-4;cat
010a59236-5;cat
010a59236-6;cat
010a59236-7;cat
010a59236-8;cat
010a59236-9;cat
0111f92ff-1;cat
0111f92ff-2;cat
0111f92ff-3;cat
0111f92ff-4;cat
0111f92ff-5;cat
01186c9fc-1;cat
01186c9fc-2;cat
